,0
1191,809000
1192,467000
1193,468000
1194,469000
1195,782000
1196,783000
1197,784000
1198,785000
1199,786000
1200,787000
1201,788000
1202,789000
1203,790000
1204,791000
1205,792000
1206,793000
1207,794000
1208,795000
1209,796000
1210,797000
1211,798000
1212,799000
1213,800000
1214,801000
1215,802000
1216,803000
1217,804000
1218,805000
1219,806000
1220,807000
1221,808000
1222,809000
1223,467000
1224,468000
1225,469000
1226,470000
1227,782000
1228,783000
1229,784000
1230,785000
1231,786000
1232,787000
1233,788000
1234,789000
1235,790000
1236,791000
1237,792000
1238,793000
1239,794000
1240,795000
1241,796000
1242,797000
1243,798000
1244,799000
1245,800000
1246,801000
1247,802000
1248,803000
1249,804000
1250,805000
1251,806000
1252,807000
1253,808000
1254,809000
1255,467000
1256,468000
1257,469000
1258,470000
1259,783000
1260,784000
1261,785000
1262,786000
1263,787000
1264,788000
1265,789000
1266,790000
1267,791000
1268,792000
1269,793000
1270,794000
1271,795000
1272,796000
1273,797000
1274,798000
1275,799000
1276,800000
1277,801000
1278,802000
1279,803000
1280,804000
1281,805000
1282,806000
1283,807000
1284,808000
1285,809000
1286,467000
1287,468000
1288,469000
1289,470000
1290,471000
1291,784000
1292,785000
1293,786000
1294,787000
1295,788000
1296,789000
1297,790000
1298,791000
1299,792000
1300,793000
1301,794000
1302,795000
1303,796000
1304,797000
1305,798000
1306,799000
1307,800000
1308,801000
1309,802000
1310,803000
1311,804000
1312,805000
1313,806000
1314,807000
1315,808000
1316,809000
1317,467000
1318,468000
1319,469000
1320,785000
1321,786000
1322,787000
1323,788000
1324,789000
1325,790000
1326,791000
1327,792000
1328,793000
1329,794000
1330,795000
1331,796000
1332,797000
1333,798000
1334,799000
1335,800000
1336,801000
1337,802000
1338,803000
1339,804000
1340,805000
1341,806000
1342,807000
1343,808000
1344,809000
1345,467000
1346,468000
1347,785000
1348,786000
1349,787000
1350,788000
1351,789000
1352,790000
1353,791000
1354,792000
1355,793000
1356,794000
1357,795000
1358,796000
1359,797000
1360,798000
1361,799000
1362,800000
1363,801000
1364,802000
1365,803000
1366,804000
1367,805000
1368,806000
1369,807000
1370,808000
1371,809000
1372,467000
1373,468000
1374,469000
1375,785000
1376,786000
1377,787000
1378,788000
1379,789000
1380,790000
1381,791000
1382,792000
1383,793000
1384,794000
1385,795000
1386,796000
1387,797000
1388,798000
1389,799000
1390,800000
1391,801000
1392,802000
1393,803000
1394,804000
1395,805000
1396,806000
1397,807000
1398,808000
1399,809000
1400,467000
1401,468000
1402,469000
1403,786000
1404,787000
1405,788000
1406,789000
1407,790000
1408,791000
1409,792000
1410,793000
1411,794000
1412,795000
1413,796000
1414,797000
1415,798000
1416,799000
1417,800000
1418,801000
1419,802000
1420,803000
1421,804000
1422,805000
1423,806000
1424,807000
1425,808000
1426,809000
1427,468000
1428,469000
1429,787000
